iter	Passed	Remaining
0	0	652
1	1	521
2	1	465
3	1	473
4	2	448
5	2	425
6	2	409
7	3	397
8	3	387
9	3	381
10	4	381
11	4	375
12	4	372
13	5	372
14	5	370
15	6	369
16	6	366
17	6	366
18	7	364
19	7	360
20	7	357
21	7	355
22	8	354
23	8	353
24	9	351
25	9	349
26	9	347
27	9	345
28	10	343
29	10	342
30	10	342
31	11	341
32	11	340
33	11	339
34	12	337
35	12	337
36	13	340
37	13	343
38	13	344
39	14	343
40	14	342
41	15	342
42	15	343
43	15	342
44	16	341
45	16	340
46	16	339
47	17	337
48	17	337
49	17	336
50	18	335
51	18	335
52	18	335
53	19	334
54	19	333
55	19	334
56	20	334
57	20	333
58	20	333
59	21	333
60	21	332
61	21	332
62	22	331
63	22	331
64	23	331
65	23	330
66	23	330
67	24	330
68	24	329
69	24	328
70	25	327
71	25	326
72	25	326
73	26	325
74	26	324
75	26	323
76	27	323
77	27	323
78	27	322
79	27	321
80	28	321
81	28	320
82	28	317
83	29	317
84	29	317
85	29	316
86	30	316
87	30	316
88	30	315
89	31	315
90	31	314
91	31	314
92	32	313
93	32	312
94	32	312
95	33	311
96	33	311
97	33	311
98	34	310
99	34	309
100	34	309
101	35	308
102	35	307
103	35	307
104	35	306
105	36	306
106	36	305
107	36	304
108	37	304
109	37	303
110	37	303
111	38	302
112	38	302
113	38	302
114	39	302
115	39	301
116	39	300
117	40	300
118	40	300
119	40	299
120	41	298
121	41	297
122	41	297
123	42	297
124	42	296
125	42	296
126	42	295
127	43	294
128	43	294
129	43	294
130	44	294
131	44	294
132	45	293
133	45	293
134	45	292
135	45	292
136	46	291
137	46	291
138	46	290
139	47	290
140	47	289
141	47	288
142	48	288
143	48	287
144	48	287
145	49	287
146	49	286
147	49	286
148	50	285
149	50	285
150	50	285
151	51	284
152	51	284
153	51	283
154	51	283
155	52	282
156	52	282
157	52	282
158	53	281
159	53	281
160	53	280
161	54	280
162	54	279
163	54	279
164	55	278
165	55	278
166	55	277
167	56	277
168	56	277
169	56	276
170	57	276
171	57	276
172	57	275
173	58	275
174	58	275
175	58	275
176	59	274
177	59	275
178	59	275
179	60	274
180	60	274
181	60	274
182	61	273
183	61	273
184	62	273
185	62	272
186	62	272
187	62	271
188	63	271
189	63	271
190	64	271
191	64	270
192	64	270
193	64	269
194	65	269
195	65	269
196	65	268
197	66	268
198	66	268
199	66	267
200	67	267
201	67	267
202	68	267
203	68	266
204	68	266
205	69	266
206	69	265
207	69	265
208	70	265
209	70	264
210	70	264
211	71	264
212	71	264
213	71	263
214	72	263
215	72	263
216	72	262
217	73	262
218	73	262
219	73	261
220	74	261
221	74	261
222	74	260
223	75	260
224	75	259
225	75	259
226	76	259
227	76	258
228	76	258
229	77	257
230	77	257
231	77	257
232	77	256
233	78	256
234	78	255
235	78	255
236	79	255
237	79	254
238	79	254
239	80	253
240	80	253
241	80	253
242	81	252
243	81	252
244	81	252
245	82	252
246	82	251
247	82	251
248	83	250
249	83	250
250	83	250
251	84	249
252	84	249
253	84	249
254	85	249
255	85	248
256	85	248
257	86	248
258	86	248
259	87	247
260	87	247
